gene,gene_effect,z_score,mean,stddev
URAD,-0.319342945501,-1.9974711839829218,-0.03698947918748621,0.1413554641376633
LACTB,-0.305372049224,-1.9962274957426758,-0.014824073453308162,0.1455485291081999
MAGEH1,-0.318105778691,-1.993680965156945,0.05539102035781669,0.1873403044801677
ARAP2,-0.354972512565,-1.991044657832127,-0.05667965518981217,0.14981726110552068
TRPC1,-0.33962728933200004,-1.9884913020677684,-0.040927420001687934,0.1502143202837768
DCBLD1,-0.384404578441,-1.9838244393025153,-0.03152058582082611,0.17788065598397554
SLC32A1,-0.301496090416,-1.9835036534291508,0.005643959064141342,0.15484723153856905
KMO,-0.158340363056,-1.9835015008884622,0.13749000407846756,0.14914552219998692
SH2D4A,-0.424759402455,-1.983231861366241,-0.08636726421344654,0.17062661448391434
DYNC1I1,-0.45755024667599997,-1.9810661496761577,-0.0992596788521361,0.18085744783556731
ZIC3,-0.37098669214599994,-1.9792136233373472,-0.04645365907939434,0.1639706948456521
LRRC24,-0.331263300617,-1.9772955670708547,-0.052617314794091034,0.14092277880119472
G6PC1,-0.307981230143,-1.9752168913276895,0.02096218043674775,0.16653533696678774
LSG1,-0.454371545976,-1.9750927261790032,-0.131182668861814,0.16363225525083286
EFCAB11,-0.376705665149,-1.9736507133128856,-0.06570300687819562,0.15757735458102848
UBAP2,-0.571141577262,-1.9734068239020754,-0.23290870500133717,0.17139541029450023
ARHGAP30,-0.31905747425500003,-1.9721658035832528,-0.060623075200016786,0.13104090872351123
LSM10,-0.21621273798500001,-1.9624417230063396,0.08557028972545683,0.15377935771164908
LVRN,-0.178886999195,-1.9600026689913386,0.06196772994406614,0.12288489855119197
TBC1D23,-0.35578815980899997,-1.959532435682202,-0.056531646009663955,0.15271832624457238
ZNF711,-0.411574361222,-1.956775690682761,-0.017271828095120314,0.20150625082085882
KLC3,-0.40879757811899997,-1.95444481522896,-0.08778409337911003,0.16424791441465372
SMPDL3A,-0.273961806721,-1.9539946466270142,0.04738073668147896,0.16445415751633738
LY6D,-0.430240405465,-1.9519801021019025,-0.10764282093218462,0.16526684067396002
OPN1SW,-0.44602831912,-1.951801004381774,-0.12882483573592507,0.16251835236889225
PDC,-0.411923356879,-1.9507657255260795,0.01937725466827741,0.22109298205501582
GJA9,-0.153007101692,-1.9497229220026366,0.08878253237749809,0.12401230520547324
LEPROTL1,-0.424892724696,-1.9462757250903582,-0.07897508664757505,0.1777331102623526
KIF2B,-0.395151949731,-1.9446336714256807,-0.06132176973197364,0.17166738646167917
DBR1,-0.8390513865170001,-1.943966525250632,-0.37805240699132775,0.2371434762572553
